timestamp,yaw_odo,roll_odo,pitch_odo
2247145952000,-0.017968403175473213,0.026902997866272926,-3.018437623977661
2247145960000,-0.018430283293128014,0.012601886875927448,-3.3114049434661865
2247145972000,-0.013148578815162182,-0.00849642138928175,-3.767270803451538
2247145980000,-0.01726389117538929,-0.024026600643992424,-4.0850138664245605
2247145992000,-0.01439572311937809,-0.051272742450237274,-4.576488018035889
2247146000000,-0.013568471185863018,-0.07603950798511505,-4.914288520812988
2247146012000,-0.013671563938260078,-0.1115712970495224,-5.432857036590576
2247146020000,-0.012594196014106274,-0.13920381665229797,-5.791523456573486
2247146032000,-0.012883591465651989,-0.17845989763736725,-6.340728282928467
2247146040000,-0.013002249412238598,-0.20957374572753906,-6.7046661376953125
2247146052000,-0.002555621089413762,-0.2543790936470032,-7.257970333099365
2247146060000,0.0031047246884554625,-0.28434690833091736,-7.6310529708862305
2247146072000,0.010144301690161228,-0.33277428150177,-8.197181701660156
2247146080000,0.010248249396681786,-0.37095266580581665,-8.575421333312988
2247146092000,0.0195399709045887,-0.429456502199173,-9.148914337158203
2247146100000,0.025369418784976006,-0.4679272770881653,-9.535460472106934
2247146112000,0.03690223768353462,-0.5241507887840271,-10.112234115600586
2247146120000,0.0419381819665432,-0.5581968426704407,-10.493109703063965
2247146132000,0.046503081917762756,-0.6108437776565552,-11.054197311401367
2247146140000,0.054197635501623154,-0.6505841016769409,-11.434806823730469
2247146152000,0.05958711355924606,-0.7060754895210266,-12.014006614685059
2247146160000,0.05999697744846344,-0.7383670210838318,-12.397844314575195
2247146176000,0.0642593652009964,-0.7884297966957092,-13.165374755859375
2247146180000,0.06553886830806732,-0.8001379370689392,-13.358417510986328
2247146192000,0.07213975489139557,-0.8387033343315125,-13.925819396972656
2247146200000,0.0752110406756401,-0.8646055459976196,-14.29377555847168
2247146212000,0.08132512867450714,-0.9009463787078857,-14.842155456542969
2247146220000,0.08231088519096375,-0.9156233072280884,-15.216378211975098
2247146232000,0.07679133862257004,-0.9264019727706909,-15.779044151306152
2247146240000,0.07533864676952362,-0.9331305623054504,-16.143470764160156
2247146252000,0.07108540087938309,-0.9429008364677429,-16.67876434326172
2247146260000,0.07684391736984253,-0.9536333084106445,-17.041698455810547
2247146272000,0.08276307582855225,-0.9533191323280334,-17.592884063720703
2247146280000,0.08277297765016556,-0.9501475691795349,-17.95451545715332
2247146292000,0.08480975776910782,-0.9377651810646057,-18.483659744262695
2247146300000,0.08631014823913574,-0.9301076531410217,-18.83390998840332
2247146316000,0.09072171896696091,-0.9078978300094604,-19.533809661865234
2247146320000,0.09035580605268478,-0.899742066860199,-19.704484939575195
2247146332000,0.08920123428106308,-0.8665258288383484,-20.2174015045166
2247146340000,0.08958277851343155,-0.8378360271453857,-20.566734313964844
2247146352000,0.09100127965211868,-0.8001778721809387,-21.086347579956055
2247146360000,0.09039995074272156,-0.7782235741615295,-21.423093795776367
2247146376000,0.09201021492481232,-0.7242384552955627,-22.084089279174805
2247146380000,0.09189256280660629,-0.7070779800415039,-22.251728057861328
2247146392000,0.09013202041387558,-0.6514328718185425,-22.755754470825195
2247146400000,0.0898502767086029,-0.6176128387451172,-23.08527946472168
2247146412000,0.09765791147947311,-0.5725565552711487,-23.581954956054688
2247146420000,0.09820437431335449,-0.5377781987190247,-23.914722442626953
2247146432000,0.10413914173841476,-0.48140087723731995,-24.403377532958984
2247146440000,0.10851842164993286,-0.4439924657344818,-24.714590072631836
2247146452000,0.11870218813419342,-0.38504859805107117,-25.14917755126953
2247146460000,0.11801725625991821,-0.3427952527999878,-25.41966438293457
2247146472000,0.11804850399494171,-0.2837117314338684,-25.79196548461914
2247146480000,0.11662492901086807,-0.24608665704727173,-26.015722274780273
2247146492000,0.11538982391357422,-0.197723850607872,-26.325042724609375
2247146500000,0.11601044982671738,-0.16743534803390503,-26.51637077331543
2247146512000,0.10621161013841629,-0.11359096318483353,-26.759023666381836
2247146520000,0.10038498044013977,-0.07781973481178284,-26.895301818847656
2247146532000,0.09225183725357056,-0.02617388404905796,-27.073087692260742
2247146540000,0.08538080751895905,0.008589183911681175,-27.171972274780273
2247146552000,0.07647053152322769,0.048467446118593216,-27.286468505859375
2247146560000,0.0727405995130539,0.06852550059556961,-27.34046173095703
2247146572000,0.06273377686738968,0.0991344004869461,-27.40021324157715
2247146580000,0.05737389251589775,0.12295486032962799,-27.433334350585938
2247146592000,0.04160211607813835,0.15416935086250305,-27.451950073242188
2247146600000,0.0353756844997406,0.16603760421276093,-27.450908660888672
2247146612000,0.02827589027583599,0.18229341506958008,-27.42966079711914
2247146620000,0.023595891892910004,0.1908329576253891,-27.399446487426758
2247146632000,0.01756235957145691,0.2113601565361023,-27.345230102539062
2247146640000,0.013478732667863369,0.22411984205245972,-27.302574157714844
2247146652000,0.0022346810437738895,0.23402374982833862,-27.22637939453125
2247146660000,-0.004252252634614706,0.23403465747833252,-27.171762466430664
2247146672000,-0.017875174060463905,0.2306319773197174,-27.07996368408203
2247146680000,-0.026855649426579475,0.23040352761745453,-27.013782501220703
2247146696000,-0.04724206402897835,0.24103525280952454,-26.860517501831055
2247146700000,-0.05263775214552879,0.24366457760334015,-26.820018768310547
2247146712000,-0.06508419662714005,0.24630306661128998,-26.698667526245117
2247146720000,-0.07538733631372452,0.24688024818897247,-26.612112045288086
2247146732000,-0.08714482188224792,0.23900508880615234,-26.481901168823242
2247146740000,-0.09742466360330582,0.24183115363121033,-26.396562576293945
2247146752000,-0.10935529321432114,0.24923798441886902,-26.262126922607422
