timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
2811161376,2811161281,8944899,0.072018094,0.19375461,0.43849167,3
2811697940,2811642246,8944899,0.10150366,0.17828332,0.43791136,3
2812123369,2812123233,8944899,0.10064176,0.17944427,0.4362856,3
2812673827,2812673808,8944899,0.15386133,0.14543757,0.43291587,3
2813086357,2813086332,8944899,0.12580697,0.14397973,0.44045296,3
2813636118,2813636098,8944899,0.038619548,0.12208752,0.45869723,3
2814186360,2814186335,8944899,0.005695384,0.13344376,0.4587119,3
2814597941,2814597921,8944899,0.059845608,0.12861598,0.4600781,3
2815148460,2815148436,8944899,0.01827636,0.15654813,0.4518486,3
2815698241,2815698220,8944899,0.0075718192,0.14661834,0.4545666,3
2816110583,2816110558,8944899,0.020462763,0.14795431,0.45610628,3
2816661411,2816661386,8944899,0.029133018,0.13433972,0.45712104,3
2817198658,2817142037,8944899,0.01751009,0.12831584,0.4595743,3
2817623109,2817623083,8944899,-0.0868652,0.108643696,0.45197165,3
2818172754,2818172734,8944899,-0.116376966,0.1070326,0.4447491,3
2818586175,2818586150,8944899,-0.12515444,0.16486089,0.42839822,3
2819135965,2819135945,8944899,-0.14014289,0.14702809,0.42612496,3
2819685718,2819685692,8944899,-0.15186203,0.14998898,0.42243272,3
2820098095,2820098075,8944899,-0.14716664,0.15057491,0.424311,3
2820648440,2820648415,8944899,-0.16586904,0.14447296,0.41807595,3
2821198457,2821198436,8944899,-0.13367054,0.14249153,0.43000987,3
2821611409,2821611383,8944899,-0.12776391,0.14696346,0.43138006,3
2822161389,2822161365,8944899,-0.13076054,0.14727226,0.43102977,3
2822697787,2822642033,8944899,-0.122696035,0.1359754,0.43587786,3
2823123160,2823123107,8944899,-0.11960464,0.12828808,0.43928465,3
2823673683,2823673663,8944899,-0.18432122,-0.024608545,0.41968977,3
2824086273,2824086248,8944899,-0.1516843,-0.045384202,0.4306693,3
2824635546,2824635526,8944899,-0.01826166,-0.14014174,0.43941572,3
2825185236,2825185212,8944899,0.10514913,-0.12909469,0.43908828,3
2825598725,2825598705,8944899,0.12380696,-0.08756192,0.44765645,3
2826148345,2826148320,8944899,0.126819,-0.06483038,0.45151615,3
2826697794,2826697774,8944899,0.12931873,-0.07907362,0.44537568,3
2827111519,2827111467,8944899,0.07512269,-0.09067111,0.4530807,3
2827660476,2827660451,8944899,-0.006242915,-0.09687239,0.45322457,3
