timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2772586000,2772585680,-0.98022676,-0.05055086,-0.0033620934,0.19128223,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2772636035,2772635562,-0.98024666,-0.05053134,-0.0031107243,0.19118966,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2772685983,2772685641,-0.98022914,-0.05055185,-0.0032636656,0.19127125,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2772735972,2772735641,-0.9802573,-0.050464764,-0.0035123024,0.19114585,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2772785961,2772785516,-0.98027873,-0.05007274,-0.0035661706,0.19113773,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2772835995,2772835642,-0.98027676,-0.050213307,-0.0035206417,0.19111225,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2772885961,2772885642,-0.98026526,-0.05029311,-0.0033969618,0.191152,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2772936028,2772935557,-0.9802786,-0.05021384,-0.003991598,0.19109322,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2772985956,2772985641,-0.9803113,-0.050014548,-0.0038674208,0.19098039,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773035989,2773035641,-0.9803258,-0.0497481,-0.003817491,0.19097628,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773085961,2773085516,-0.98033226,-0.049536277,-0.0035516215,0.1910034,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773135959,2773135641,-0.98033774,-0.049599964,-0.003547774,0.19095857,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773186027,2773185685,-0.980337,-0.049753886,-0.0036606512,0.19092035,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773235982,2773235641,-0.9803627,-0.04947341,-0.0034741242,0.19086486,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773286017,2773285546,-0.9803861,-0.04899018,-0.0035058616,0.19086865,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773330985,2773330516,-0.98039865,-0.04884831,-0.0037572174,0.19083579,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773385913,2773385641,-0.9803994,-0.048851047,-0.0042119473,0.19082138,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773435989,2773435641,-0.98039955,-0.048404943,-0.0046831053,0.19092363,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773480985,2773480517,-0.9804602,-0.048015438,-0.004566174,0.19071288,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773535964,2773535641,-0.98049706,-0.04780608,-0.004763858,0.19057164,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773586002,2773585516,-0.98052365,-0.04744379,-0.004644987,0.19052804,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773631006,2773630515,-0.98059106,-0.04688778,-0.0044913315,0.19032264,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
2773686001,2773685641,-0.98062044,-0.04643385,-0.004356475,0.19028553,-0.99999946,5.820311e-11,1.7189292e-09,0.0010412207,8
