t,x,y
0,0.0,0.0
16000,0.0,0.0
36000,0.0,0.0
60000,5.968467257571065e-06,9.259278945687372e-06
76000,2.2660398515765536e-05,4.163805232740196e-05
96000,4.210142362823489e-05,7.561699195205926e-05
116000,6.390795168310383e-05,0.00013452967417906315
136000,7.893386137630836e-05,0.00021839065536617415
156000,7.738267186128282e-05,0.0003358368449157097
176000,5.847240757858366e-05,0.0004990392134104585
200000,1.939430885423983e-05,0.0007292951251357534
216000,-5.285367264844308e-05,0.001127161347744144
236000,-0.00012071700685967269,0.0015125442585500037
256000,-0.00022138669964951287,0.0021289085092589593
276000,-0.0003556385385980268,0.002950182635979081
296000,-0.0005251428561438476,0.004016288725206336
316000,-0.0007282528015228396,0.005378399085023383
340000,-0.0009787351627221718,0.007098510561483622
356000,-0.001339919981326872,0.009674196003629726
376000,-0.0016303891754277863,0.011849720990625562
400000,-0.002034761253508613,0.015002278630291448
416000,-0.002575922882778128,0.019529576474540792
436000,-0.002981956927447841,0.02319767779202653
456000,-0.0035278513491033368,0.028382245543882904
476000,-0.004117538174845961,0.034380767173697424
500000,-0.004743848318271398,0.04126329634706287
520000,-0.005542490713955885,0.05066802842325289
536000,-0.006252798694690554,0.059721261560060336
556000,-0.006843215092498214,0.0678205553421148
576000,-0.00758962734688307,0.07884648478765825
600000,-0.008335939917467528,0.09105723700433656
616000,-0.009228201713300594,0.10720945167093125
636000,-0.009821624411437774,0.11921387929009092
656000,-0.010564794706513133,0.13527234830776383
676000,-0.01130733080373118,0.1526877377743971
696000,-0.012039472472023771,0.1714969002514749
716000,-0.012766082272473578,0.1917444807759751
736000,-0.01348353603599341,0.2134614733605811
756000,-0.014187879282315637,0.23668349716521997
776000,-0.014870744410551215,0.2614516140172872
800000,-0.015533781273822817,0.2877927568915876
816000,-0.0163070594843239,0.3213082792005116
836000,-0.01680803463552709,0.3451883584462784
856000,-0.017417364836266852,0.3763268439495893
876000,-0.01800227598055811,0.4090799298963627
900000,-0.01856230727697237,0.44344850208171793
920000,-0.01920153491909431,0.48663250314048623
936000,-0.019701108637878658,0.5245567831793809
956000,-0.020078836865397784,0.5561771267959779
976000,-0.020531614486634476,0.5969708752251072
1000000,-0.020964498701268208,0.6393364928250931
1016000,-0.021452136314054803,0.692037711660755
1040000,-0.021747974142725682,0.7286598045655495
1060000,-0.02215851057908233,0.7850582546850695
1076000,-0.02245304133838016,0.8338642932130046
1100000,-0.02266496446772398,0.8741067850274349
1120000,-0.022948018130360365,0.9358885657851661
1136000,-0.023139174524801142,0.9891169794756833
1160000,-0.023262474610058124,1.0328451327498214
1176000,-0.02341218274374986,1.099803846801411
1200000,-0.023468958130294666,1.145803240643718
1216000,-0.023513716405308138,1.2161359236945144
1240000,-0.023510429428230655,1.264335874786185
1256000,-0.023477053108156693,1.3379244879055943
1276000,-0.023423902984771906,1.3882593784115211
1300000,-0.023328853743891872,1.4522164016461387
1316000,-0.023171650774276152,1.5304822765331458
1336000,-0.02303043189792621,1.58384177743125
1356000,-0.022821581595732485,1.6514949395519907
1376000,-0.02256525758465586,1.720305081838605
1400000,-0.022255335257821005,1.7902275681167144
1416000,-0.021828864926119056,1.8754013010674027
1436000,-0.02150017109879642,1.9331584900177992
1456000,-0.021055717177301616,2.0061341531812924
1476000,-0.020570530650510052,2.080046289646621
1500000,-0.02004636443633248,2.154867275732051
1516000,-0.01936623182783704,2.2457056739685517
1536000,-0.018867991727748272,2.3070896974265245
1556000,-0.0181996413839498,2.384478797274556
1576000,-0.017477403057448736,2.4626589295139647
1596000,-0.016704462746491542,2.5416017363666197
1616000,-0.015878869863539886,2.621282721251632
1636000,-0.014994825064903893,2.7016770918955824
1660000,-0.014052940039169282,2.7827484533303535
1676000,-0.012849175686680162,2.8808111179982823
1700000,-0.011984305726167882,2.9467849043146845
1716000,-0.010629439871307635,3.046330007693107
1736000,-0.009670199651595658,3.1132627308765453
1760000,-0.00842854117042879,3.197396337142347
1776000,-0.0068655541691153826,3.29902395482645
1800000,-0.005776464419166928,3.367293838557798
1816000,-0.004090433885378244,3.470211469678478
1836000,-0.00292140132528622,3.5393298861036366
1856000,-0.0014164275663345488,3.62615054228994
1876000,0.00014211934029966888,3.71348861759291
1896000,0.0017491889328516612,3.8013333318857674
1916000,0.0034076999726295725,3.8896687511121755
1936000,0.005114539179703885,3.978488114885402
1956000,0.0068633827253205765,4.067782071910043
1976000,0.008652420848451225,4.1575341519763525
1996000,0.010486955246884703,4.247735990323437
2016000,0.012362551223660761,4.338379202317754
2040000,0.014277062548307065,4.429440141726134
2056000,0.01662584015221641,4.539196676477756
2080000,0.018234403124493776,4.612745058518226
2096000,0.020676489786339774,4.723428454471511
2116000,0.022342798428715973,4.797565521202307
2140000,0.024449609868784042,4.890518352942214
2156000,0.02701970018021235,5.002461474859539
2176000,0.02876187721246002,5.077395556983025
2200000,0.03096904437801741,5.1713084554431425
2216000,0.03366281689405066,5.284357183005589
2236000,0.035495116574693196,5.36000193886091
2256000,0.03782101235437999,5.45478721556542
2276000,0.04019495861973305,5.549853399720674
2300000,0.042620573793203345,5.645196756332666
2316000,0.045588360574457414,5.759939969091682
2340000,0.04761283210126556,5.836705209597821
2356000,0.05070155850764501,5.9521179710492715
2376000,0.05281304327599102,6.0293233070898
2396000,0.05548573500956896,6.126044303148936
2416000,0.058208812035911627,6.223038213644082
2436000,0.06097744950039102,6.3202987322578785
2456000,0.06379086708781,6.4178225154179565
2476000,0.06664607333746918,6.515604735349268
2496000,0.06954832701807799,6.6136429889401045
