x,y,t
0.0,0.0,0
6.487075006589293e-05,0.011113381944596767,52000
-0.007545932021457702,4.404783248901367e-05,104000
-0.007545932021457702,4.404783248901367e-05,156000
-0.007545932021457702,4.404783248901367e-05,208000
-0.007545932021457702,4.404783248901367e-05,260000
0.015091863868292421,-8.809380233287811e-05,312000
0.022702666581608355,0.01098124124109745,364000
0.022702666581608355,0.01098124124109745,416000
0.007610802655108273,0.011069336906075478,468000
0.015221605193801224,0.02213867288082838,520000
0.015286475943867117,0.0332520566880703,572000
0.0001946121919900179,0.03334015142172575,624000
0.0001946121919900179,0.03334015142172575,676000
0.00038922432577237487,0.0666803028434515,728000
0.008194638998247683,0.11108979117125273,780000
0.0008433193434029818,0.14447398856282234,832000
-0.021470122155733407,0.20017304923385382,884000
-0.02856195851927623,0.2780107827857137,936000
-0.02817273384425789,0.3446910846978426,988000
-0.03513482818379998,0.44475558679550886,1040000
-0.027069930627476424,0.5336186103522778,1092000
-0.026486093585845083,0.6336390655487776,1144000
-0.040864376875106245,0.7559743793681264,1196000
-0.0400859271758236,0.8893349841237068,1248000
-0.03930747741833329,1.022695591673255,1300000
-0.06103707733564079,1.1784151066094637,1352000
-0.052518084296025336,1.345071816816926,1404000
-0.05909095157403499,1.5118166217580438,1456000
-0.06559894769452512,1.6896748095750809,1508000
-0.09474473184673116,1.8676651399582624,1560000
-0.09357705496950075,2.067706048488617,1612000
-0.12265796528663486,2.256809761747718,1664000
-0.12136054533766583,2.479077437892556,1716000
-0.12012799631338567,2.6902317320927978,1768000
-0.12644137570168823,2.9014300713315606,1820000
-0.12514395534526557,3.1236977484077215,1872000
-0.11623573605902493,3.3570347633212805,1924000
-0.13003017072333023,3.5793905360624194,1976000
-0.12866787891834974,3.8127715960144997,2028000
-0.14233256969600916,4.057354136370122,2080000
-0.148516203451436,4.290779244154692,2132000
-0.1395431135315448,4.53522964194417,2184000
-0.15320780134061351,4.779812182299793,2236000
-0.166872488160152,5.024394721724093,2288000
-0.17292637698119506,5.280046598054469,2340000
-0.18665593268815428,5.5135157546028495,2392000
-0.17755309969652444,5.780192920938134,2444000
-0.183606986887753,6.035844798199832,2496000
-0.1820500782923773,6.302566011436284,2548000
-0.20306606905069202,6.580532751046121,2600000
-0.20905508240684867,6.847298012115061,2652000
-0.2075630435720086,7.102905843406916,2704000
-0.21348718466470018,7.38078448921442,2756000
-0.20438435184769332,7.64746165741235,2808000
-0.19521664857165888,7.925252207554877,2860000
-0.21629750286228955,8.192105563357472,2912000
-0.22222164156846702,8.469984211027622,2964000
-0.22808090812759474,8.758976239711046,3016000
-0.21897807583445683,9.025653407908976,3068000
-0.22496708418475464,9.292418670840561,3120000
-0.2157993811997585,9.570209222845733,3172000
-0.23681535600917414,9.848175964318216,3224000
-0.24286923347972333,10.103827842511237,3276000
-0.23376640159403905,10.370505010709167,3328000
-0.22472844162257388,10.626068795099854,3380000
-0.2383931076619774,10.870651338249445,3432000
-0.22187410161131993,11.115057691000402,3484000
-0.2204469315474853,11.359552139416337,3536000
-0.23424133833032101,11.581907913088799,3588000
-0.24048982711974531,11.804219640791416,3640000
-0.23184109653811902,11.99310312140733,3692000
-0.2307382826693356,12.182030649855733,3744000
-0.21460850798757747,12.359756699763238,3796000
-0.21370030869729817,12.515344076789916,3848000
-0.2053110650740564,12.65977402124554,3900000
-0.21207852417137474,12.793178675696254,3952000
-0.21136493899393827,12.915425901301205,4004000
-0.2031703099492006,13.026515695266426,4056000
-0.20258646761067212,13.126536150462925,4108000
-0.19445671036373824,13.226512559689581,4160000
-0.18639182450715452,13.315375585108995,4212000
-0.18593772512394935,13.393169273622334,4264000
-0.18554849707288668,13.459849576465786,4316000
-0.18509439763147384,13.53764326684177,4368000
-0.16974308318458498,13.582008708268404,4420000
-0.17696464114123955,13.637619676068425,4472000
-0.1615484556532465,13.69309850037098,4524000
-0.15374305617297068,13.737507989630103,4576000
-0.1460025279666297,13.770804094150662,4628000
-0.15341869974508882,13.793074909597635,4680000
-0.15322408586507663,13.826415062882006,4732000
-0.145613300264813,13.837484399788082,4784000
-0.15302947198506445,13.85975521337241,4836000
-0.14535381516907364,13.881937935948372,4888000
-0.14541868644300848,13.870824550278485,4940000
-0.1228458151454106,13.859579024836421,4992000
-0.10775398701662198,13.859490931034088,5044000
-0.10014320147456601,13.870560267008841,5096000
-0.10775398701662198,13.859490931034088,5148000
-0.08524598687654361,13.837132023647428,5200000
-0.09292164328508079,13.814949301071465,5252000
-0.08544060034910217,13.803791869431734,5304000
-0.06286772876046598,13.79254634398967,5356000
-0.0705433851107955,13.770363623276353,5408000
-0.07060825626831502,13.759250239469111,5460000
-0.0631920843734406,13.736979423090816,5512000
-0.040684083476662636,13.714620514772832,5564000
-0.02578686788911,13.681192268617451,5616000
0.004331918666139245,13.669902696274221,5668000
0.04199661978054792,13.658569077961147,5720000
0.05682896508369595,13.614027448929846,5772000
0.10197471029823646,13.591536398977041,5824000
0.13202862680191174,13.569133443757892,5876000
0.17717437265673652,13.54664239473641,5928000
0.22232011886080727,13.524151345714927,5980000
0.2524389067548327,13.512861775234342,6032000
0.30506569769931957,13.479213297367096,6084000
0.3578222298528999,13.467791587114334,6136000
0.440632680663839,13.433966925367713,6188000
0.49332434352254495,13.41143183130771,6240000
0.5535619214060716,13.388852692209184,6292000
0.6214102844242007,13.377342893742025,6344000
0.6968045625835657,13.3657890483737,6396000
0.7721339714480564,13.343121818266809,6448000
0.8550741650979035,13.331523929722607,6500000
0.9454954046523198,13.30876861140132,6552000
